bubbly#4\127#активный
candid#4\128#откровенный, искренний, чистосердечный
conceited#4\129#самоуверенный; тщеславный
determined#4\130#решительный, твёрдый
gullible#4\131#доверчивый, легковерный
impetuous#4\132#горячий; пылкий
indecisive#4\133#нерешительный, неуверенный
lenient#4\134#снисходительный; мягкий
light-hearted#4\135#беззаботный; весёлый
malicious#4\136#злобный, злой
obstinate#4\137#упрямый, своевольный
reckless#4\138#необдуманный, безрассудный
self-assured#4\139#уверенный в себе
smart#4\140#умный, разумный
